company,positionName,rating,location,state,salary,salary_num,job_type,is_senior,is_remote,is_CA_NY
Google,"Senior Data Scientist, Research, YouTube Search",4.3,"San Bruno, CA",CA,"$166,000 - $244,000 a year",205000.0,Full-time,1,0,1
Meta,"Audio Software Engineer, Applied Scientist",4.2,"Redmond, WA",WA,$70.67 an hour,146993.6,Full-time,0,0,0
Google,"Staff Data Scientist, Research, Search Platforms",4.3,"Cambridge, MA",MA,"$197,000 - $291,000 a year",244000.0,Full-time,0,0,0
"Iambic Therapeutics, Inc",Machine Learning Scientist II/Sr (Biomedical Images),0.0,"San Diego, CA",CA,"$152,000 - $215,000 a year",183500.0,Full-time,0,0,1
AtkinsRéalis,Senior Data Scientist,3.9,"New York, NY",NY,"$74,000 - $135,000 a year",104500.0,Full-time,1,0,1
EliseAI,AI Operations Specialist - Healthcare,0.0,"New York, NY",NY,"$60,000 - $75,000 a year",67500.0,Full-time,0,0,1
S&P Global,Machine Learning Engineer,3.9,"New York, NY",NY,"$150,000 - $190,000 a year",170000.0,Unknown,0,0,1
Handshake,"AI Researcher, Handshake AI",3.7,"New York, NY",NY,"$180,000 - $300,000 a year",240000.0,Full-time,0,0,1
Handshake,"Prompt Engineer, Handshake AI",3.7,"San Francisco, CA",CA,"$120,000 - $165,000 a year",142500.0,Full-time,0,0,1
Waymo,"Senior Software Engineer, Machine Learning, Infra & Eval",3.1,"Mountain View, CA",CA,"$204,000 - $259,000 a year",231500.0,Full-time,1,0,1
Google,"Lead Data Scientist, Research, Multimodal Search",4.3,"Mountain View, CA",CA,"$197,000 - $291,000 a year",244000.0,Full-time,1,0,1
Amazon.com Services LLC,"Sr Software Dev Engineer, AI, Storm Design System",3.5,"Seattle, WA",WA,"$151,300 - $261,500 a year",206400.0,Full-time,0,0,0
Handshake,"Research Engineer, Handshake AI",3.7,"New York, NY",NY,"$180,000 - $300,000 a year",240000.0,Full-time,0,0,1
Barclays,Data Scientist,3.9,"Henderson, NV",NV,"$152,500 - $167,750 a year",160125.0,Unknown,0,0,0
Handshake,"Prompt Engineer, Handshake AI",3.7,"New York, NY",NY,"$120,000 - $165,000 a year",142500.0,Full-time,0,0,1
"Iambic Therapeutics, Inc",Machine Learning Scientist II/Sr (Omics),0.0,"San Diego, CA",CA,"$152,000 - $215,000 a year",183500.0,Full-time,0,0,1
Google,"Software Engineering Manager II, AI/ML, Google Workspace",4.3,"Sunnyvale, CA",CA,"$197,000 - $291,000 a year",244000.0,Full-time,1,0,1
Citigroup,GenAI Technology Lead - (Hybrid),3.9,"Irving, TX",TX,"$156,160 - $234,240 a year",195200.0,Full-time,1,0,0
Deloitte,Azure AI Security Senior Consultant,3.9,"New York, NY",NY,"$118,700 - $218,600 a year",168650.0,Full-time,1,0,1
Amazon,"Senior Delivery Consultant- GenAI/ML, AWS, Industries",3.5,"Arlington, VA",VA,"$138,200 - $239,000 a year",188600.0,Unknown,1,0,0
UCSF Health,Sr. Data Analyst,4.0,"San Francisco, CA",CA,"$143,900 - $215,800 a year",179850.0,Full-time,0,0,1
Aledade,Staff AI Researcher,3.1,"Bethesda, MD",MD,"$215,000 - $230,000 a year",222500.0,Unknown,0,0,0
AT&T,Principal Data Scientist,3.7,"Atlanta, GA",GA,"$160,900 - $270,400 a year",215650.0,Full-time,0,0,0
Meta,Machine Learning Software Engineering Manager,4.0,"New York, NY",NY,"$213,000 - $293,000 a year",253000.0,Unknown,1,0,1
Amazon,"Sr. Data Scientist, ART19",3.5,"San Francisco, CA",CA,"$143,300 - $247,600 a year",195450.0,Unknown,0,0,1
Amazon.com Services LLC,"Sr. Data Scientist, ART19",3.5,"San Francisco, CA",CA,"$143,300 - $247,600 a year",195450.0,Full-time,0,0,1
Amazon,"Applied Scientist I, Buyer Abuse Prevention",3.5,"San Diego, CA",CA,"$129,400 - $212,800 a year",171100.0,Unknown,0,0,1
Snowflake,Head of AI Solutions,3.6,"Menlo Park, CA",CA,"$243,000 - $379,500 a year",311250.0,Unknown,0,0,1
Amazon.com Services LLC,"Software Development Engineer II, Measurement, Ad Tech, and Data Science (MADS)",3.5,"New York, NY",NY,"$129,300 - $223,600 a year",176450.0,Full-time,0,0,1
Amazon.com Services LLC,"Applied Scientist I, Buyer Abuse Prevention",3.5,"San Diego, CA",CA,"$129,400 - $212,800 a year",171100.0,Full-time,0,0,1
Snowflake,"Software Engineer, Machine Learning â€“ Engineering Systems and AI Research",3.6,"Bellevue, WA",WA,"$157,000 - $230,000 a year",193500.0,Unknown,0,0,0
Johnson & Johnson,"Principal Portfolio Lead, Statistical Programming - Oncology",4.2,"Spring House, PA",PA,"$115,000 - $197,800 a year",156400.0,Full-time,1,0,0
TikTok,Machine Learning Engineer - CV/NLP/Multimodal LLM (TikTok Trust and Safety) - 2026 Start(PHD),3.3,"San Jose, CA",CA,"$145,000 - $250,000 a year",197500.0,Unknown,0,0,1
Pfizer,"Senior Manager, Data Science & Analytics",4.2,"Bothell, WA",WA,"$120,800 - $201,400 a year",161100.0,Full-time,1,0,0
Cella,SENIOR WEBSITE DATA ANALYST,3.2,"Lake Forest, IL",IL,$48 - $50 an hour,99840.0,Contract,1,0,0
AT&T,Principal Data Scientist,3.7,"Dallas, TX",TX,"$160,900 - $270,400 a year",215650.0,Full-time,0,0,0
Convene,Senior Data Analyst,3.2,"New York, NY",NY,"$95,000 - $105,000 a year",100000.0,Unknown,1,0,1
Amazon,"Deep Learning Architect, Generative AI Innovation Center",3.5,"Arlington, VA",VA,"$118,200 - $204,300 a year",161250.0,Unknown,0,0,0
"Amazon Web Services, Inc.","Senior Applied Scientist, Agentic AI Professional Services Experience",3.4,"New York, NY",NY,"$150,400 - $260,000 a year",205200.0,Full-time,1,0,1
Bristol-Myers Squibb,"Associate Director, Analytical AI Forecasting and Predictive Solutions",4.1,"Princeton, NJ",NJ,"$167,540 - $203,000 a year",185270.0,Unknown,0,0,0
Amazon,"Senior Applied Scientist, Geographic Targeting",3.5,"New York, NY",NY,"$150,400 - $260,000 a year",205200.0,Unknown,1,0,1
Arlo,Senior Data Analyst,3.3,"Milpitas, CA",CA,"$115,000 - $170,000 a year",142500.0,Full-time,1,0,1
